"word,count";"Filename"
"come,11";"2020-05-07.csv"
"along,11";"2020-05-07.csv"
"first,11";"2020-05-07.csv"
"many,11";"2020-05-07.csv"
"four,11";"2020-05-07.csv"
"did,11";"2020-05-07.csv"
"absolutely,11";"2020-05-07.csv"
"didnt,11";"2020-05-07.csv"
"difficult,11";"2020-05-07.csv"
"enough,11";"2020-05-07.csv"
"earlier,11";"2020-05-07.csv"
"needs,11";"2020-05-07.csv"
"wight,11";"2020-05-07.csv"
"far,11";"2020-05-07.csv"
"line,10";"2020-05-07.csv"
"afua,10";"2020-05-07.csv"
"want,10";"2020-05-07.csv"
"coronavirus,10";"2020-05-07.csv"
"let,10";"2020-05-07.csv"
"day,10";"2020-05-07.csv"
"death,10";"2020-05-07.csv"
"isnt,10";"2020-05-07.csv"
"taken,10";"2020-05-07.csv"
"ppe,10";"2020-05-07.csv"
"cant,10";"2020-05-07.csv"
"yeah,10";"2020-05-07.csv"
"crisis,10";"2020-05-07.csv"
"put,10";"2020-05-07.csv"
"same,10";"2020-05-07.csv"
"try,10";"2020-05-07.csv"
"case,10";"2020-05-07.csv"
"does,10";"2020-05-07.csv"
"approach,10";"2020-05-07.csv"
"black,10";"2020-05-07.csv"
"comes,10";"2020-05-07.csv"
"zone,10";"2020-05-07.csv"
"scenario,10";"2020-05-07.csv"
"environment,9";"2020-05-07.csv"
"executive,9";"2020-05-07.csv"
"live,9";"2020-05-07.csv"
"100000,9";"2020-05-07.csv"
"happen,9";"2020-05-07.csv"
"making,9";"2020-05-07.csv"
"certainly,9";"2020-05-07.csv"
"success,9";"2020-05-07.csv"
"die,9";"2020-05-07.csv"
"fiona,9";"2020-05-07.csv"
"minister,9";"2020-05-07.csv"
"equipment,9";"2020-05-07.csv"
"mean,9";"2020-05-07.csv"
"tests,9";"2020-05-07.csv"
"quickly,9";"2020-05-07.csv"
"privacy,9";"2020-05-07.csv"
"isle,9";"2020-05-07.csv"
"ensure,9";"2020-05-07.csv"
"away,9";"2020-05-07.csv"
"sunday,9";"2020-05-07.csv"
"outline,9";"2020-05-07.csv"
"food,8";"2020-05-07.csv"
"chris,8";"2020-05-07.csv"
"deaths,8";"2020-05-07.csv"
"coming,8";"2020-05-07.csv"
"rate,8";"2020-05-07.csv"
"comparisons,8";"2020-05-07.csv"
"something,8";"2020-05-07.csv"
"issue,8";"2020-05-07.csv"
"seriously,8";"2020-05-07.csv"
"every,8";"2020-05-07.csv"
"forward,8";"2020-05-07.csv"
"capacity,8";"2020-05-07.csv"
"too,8";"2020-05-07.csv"
"test,8";"2020-05-07.csv"
"lot,8";"2020-05-07.csv"
"50,8";"2020-05-07.csv"
"part,8";"2020-05-07.csv"
"close,8";"2020-05-07.csv"
"parts,8";"2020-05-07.csv"
"still,8";"2020-05-07.csv"
"oversight,8";"2020-05-07.csv"
"protected,8";"2020-05-07.csv"
"normal,8";"2020-05-07.csv"
"restrictions,8";"2020-05-07.csv"
"argument,8";"2020-05-07.csv"
"risk,8";"2020-05-07.csv"
"returning,8";"2020-05-07.csv"
"charles,8";"2020-05-07.csv"
"optional,8";"2020-05-07.csv"
"home,7";"2020-05-07.csv"
"south,7";"2020-05-07.csv"
"hospital,7";"2020-05-07.csv"
"evening,7";"2020-05-07.csv"
"meant,7";"2020-05-07.csv"
"start,7";"2020-05-07.csv"
"public,7";"2020-05-07.csv"
"rightly,7";"2020-05-07.csv"
"real,7";"2020-05-07.csv"
"differently,7";"2020-05-07.csv"
"alone,7";"2020-05-07.csv"
"circumstances,7";"2020-05-07.csv"
"today,7";"2020-05-07.csv"
"prime,7";"2020-05-07.csv"
"life,7";"2020-05-07.csv"
"strategy,7";"2020-05-07.csv"
"front,7";"2020-05-07.csv"
"across,7";"2020-05-07.csv"
"five,7";"2020-05-07.csv"
"advice,7";"2020-05-07.csv"
"appropriate,7";"2020-05-07.csv"
"having,7";"2020-05-07.csv"
"help,7";"2020-05-07.csv"
"seems,7";"2020-05-07.csv"
"used,7";"2020-05-07.csv"
"involved,7";"2020-05-07.csv"
"another,7";"2020-05-07.csv"
"using,7";"2020-05-07.csv"
"trace,7";"2020-05-07.csv"
"mention,7";"2020-05-07.csv"
"price,7";"2020-05-07.csv"
"phone,7";"2020-05-07.csv"
"someone,7";"2020-05-07.csv"
"20,7";"2020-05-07.csv"
"return,7";"2020-05-07.csv"
"held,7";"2020-05-07.csv"
"areas,7";"2020-05-07.csv"
"ethnic,7";"2020-05-07.csv"
"men,7";"2020-05-07.csv"
"metres,7";"2020-05-07.csv"
"companies,7";"2020-05-07.csv"
"businesses,7";"2020-05-07.csv"
"suggested,7";"2020-05-07.csv"
"business,6";"2020-05-07.csv"
"social,6";"2020-05-07.csv"
"talk,6";"2020-05-07.csv"
"careful,6";"2020-05-07.csv"
"single,6";"2020-05-07.csv"
"worst,6";"2020-05-07.csv"
"view,6";"2020-05-07.csv"
"level,6";"2020-05-07.csv"
"local,6";"2020-05-07.csv"
"made,6";"2020-05-07.csv"
"moment,6";"2020-05-07.csv"
"between,6";"2020-05-07.csv"
"havent,6";"2020-05-07.csv"
"further,6";"2020-05-07.csv"
"early,6";"2020-05-07.csv"
"best,6";"2020-05-07.csv"
"available,6";"2020-05-07.csv"
"sorry,6";"2020-05-07.csv"
"labour,6";"2020-05-07.csv"
"set,6";"2020-05-07.csv"
"distancing,6";"2020-05-07.csv"
"learn,6";"2020-05-07.csv"
"true,6";"2020-05-07.csv"
"doesnt,6";"2020-05-07.csv"
"theyve,6";"2020-05-07.csv"
"evidence,6";"2020-05-07.csv"
"care,6";"2020-05-07.csv"
"seen,6";"2020-05-07.csv"
"heard,6";"2020-05-07.csv"
"worth,6";"2020-05-07.csv"
"paying,6";"2020-05-07.csv"
"referring,6";"2020-05-07.csv"
"understand,6";"2020-05-07.csv"
"getting,6";"2020-05-07.csv"
"thing,6";"2020-05-07.csv"
"wont,6";"2020-05-07.csv"
"confidence,6";"2020-05-07.csv"
"process,6";"2020-05-07.csv"
"am,6";"2020-05-07.csv"
"enforcement,6";"2020-05-07.csv"
"saskia,6";"2020-05-07.csv"
"southwest,6";"2020-05-07.csv"
"account,6";"2020-05-07.csv"
"factors,6";"2020-05-07.csv"
"likely,6";"2020-05-07.csv"
"enquiry,6";"2020-05-07.csv"
"protect,6";"2020-05-07.csv"
"rules,6";"2020-05-07.csv"
"hotdesk,6";"2020-05-07.csv"
"guidance,6";"2020-05-07.csv"
"workplace,6";"2020-05-07.csv"
"extras,6";"2020-05-07.csv"
"office,6";"2020-05-07.csv"
"oneway,6";"2020-05-07.csv"
"covid19,6";"2020-05-07.csv"
"responsible,6";"2020-05-07.csv"
"ambulance,5";"2020-05-07.csv"
"before,5";"2020-05-07.csv"
"happened,5";"2020-05-07.csv"
"comments,5";"2020-05-07.csv"
"even,5";"2020-05-07.csv"
"toll,5";"2020-05-07.csv"
"figures,5";"2020-05-07.csv"
"hear,5";"2020-05-07.csv"
"colleagues,5";"2020-05-07.csv"
"reasons,5";"2020-05-07.csv"
"whether,5";"2020-05-07.csv"
"whats,5";"2020-05-07.csv"
"london,5";"2020-05-07.csv"
"everything,5";"2020-05-07.csv"
"honesty,5";"2020-05-07.csv"
"until,5";"2020-05-07.csv"
"move,5";"2020-05-07.csv"
"better,5";"2020-05-07.csv"
"particular,5";"2020-05-07.csv"
"house,5";"2020-05-07.csv"
"must,5";"2020-05-07.csv"
"save,5";"2020-05-07.csv"
"lives,5";"2020-05-07.csv"
"follow,5";"2020-05-07.csv"
"lots,5";"2020-05-07.csv"
"couldnt,5";"2020-05-07.csv"
"together,5";"2020-05-07.csv"
"possible,5";"2020-05-07.csv"
"recognise,5";"2020-05-07.csv"
"worked,5";"2020-05-07.csv"
"sector,5";"2020-05-07.csv"
"happens,5";"2020-05-07.csv"
"area,5";"2020-05-07.csv"
"april,5";"2020-05-07.csv"
"situation,5";"2020-05-07.csv"
"policy,5";"2020-05-07.csv"
"lack,5";"2020-05-07.csv"
"yet,5";"2020-05-07.csv"
"target,5";"2020-05-07.csv"
"again,5";"2020-05-07.csv"
"days,5";"2020-05-07.csv"
"ramped,5";"2020-05-07.csv"
"youve,5";"2020-05-07.csv"
"concern,5";"2020-05-07.csv"
"share,5";"2020-05-07.csv"
"idea,5";"2020-05-07.csv"
"selfisolate,5";"2020-05-07.csv"
"once,5";"2020-05-07.csv"
"confident,5";"2020-05-07.csv"
"stage,5";"2020-05-07.csv"
"korea,5";"2020-05-07.csv"
"70,5";"2020-05-07.csv"
"regional,5";"2020-05-07.csv"
"?areup,5";"2020-05-07.csv"
"flareup,5";"2020-05-07.csv"
"economy,5";"2020-05-07.csv"
"easing,5";"2020-05-07.csv"
"dearty,5";"2020-05-07.csv"
"map,5";"2020-05-07.csv"
"happening,5";"2020-05-07.csv"
"strong,5";"2020-05-07.csv"
"communities,5";"2020-05-07.csv"
"maier,5";"2020-05-07.csv"
"hot,5";"2020-05-07.csv"
"crystal,5";"2020-05-07.csv"
"employees,5";"2020-05-07.csv"
"lagally,5";"2020-05-07.csv"
"desk,5";"2020-05-07.csv"
"existing,5";"2020-05-07.csv"
"manufacturers,5";"2020-05-07.csv"
"experience,5";"2020-05-07.csv"
"wales,4";"2020-05-07.csv"
"british,4";"2020-05-07.csv"
"siemens,4";"2020-05-07.csv"
"taking,4";"2020-05-07.csv"
"keep,4";"2020-05-07.csv"
"governments,4";"2020-05-07.csv"
"less,4";"2020-05-07.csv"
"international,4";"2020-05-07.csv"
"may,4";"2020-05-07.csv"
"keen,4";"2020-05-07.csv"
"europe,4";"2020-05-07.csv"
"second,4";"2020-05-07.csv"
"wants,4";"2020-05-07.csv"
"wait,4";"2020-05-07.csv"
"itself,4";"2020-05-07.csv"
"called,4";"2020-05-07.csv"
"apparent,4";"2020-05-07.csv"
"show,4";"2020-05-07.csv"
"planning,4";"2020-05-07.csv"
"over,4";"2020-05-07.csv"
"throughout,4";"2020-05-07.csv"
"problems,4";"2020-05-07.csv"
"protective,4";"2020-05-07.csv"
"few,4";"2020-05-07.csv"
"youre,4";"2020-05-07.csv"
"learning,4";"2020-05-07.csv"
"transport,4";"2020-05-07.csv"
"ive,4";"2020-05-07.csv"
"medical,4";"2020-05-07.csv"
"rase,4";"2020-05-07.csv"
"soon,4";"2020-05-07.csv"
"results,4";"2020-05-07.csv"
"changed,4";"2020-05-07.csv"
"trying,4";"2020-05-07.csv"
"absolute,4";"2020-05-07.csv"
"fortnight,4";"2020-05-07.csv"
"effort,4";"2020-05-07.csv"
"around,4";"2020-05-07.csv"
"needed,4";"2020-05-07.csv"
"without,4";"2020-05-07.csv"
"proper,4";"2020-05-07.csv"
"thank,4";"2020-05-07.csv"
"mobile,4";"2020-05-07.csv"
"through,4";"2020-05-07.csv"
"give,4";"2020-05-07.csv"
"economic,4";"2020-05-07.csv"
"small,4";"2020-05-07.csv"
"tracers,4";"2020-05-07.csv"
"certain,4";"2020-05-07.csv"
"powerful,4";"2020-05-07.csv"
"works,4";"2020-05-07.csv"
"monitor,4";"2020-05-07.csv"
"support,4";"2020-05-07.csv"
"ease,4";"2020-05-07.csv"
"gps,4";"2020-05-07.csv"
"ideas,4";"2020-05-07.csv"
"database,4";"2020-05-07.csv"
"protection,4";"2020-05-07.csv"
"consulted,4";"2020-05-07.csv"
"standards,4";"2020-05-07.csv"
"resolved,4";"2020-05-07.csv"
"spoke,4";"2020-05-07.csv"
"properly,4";"2020-05-07.csv"
"provide,4";"2020-05-07.csv"
"respond,4";"2020-05-07.csv"
"info,4";"2020-05-07.csv"
"last,4";"2020-05-07.csv"
"evolve,4";"2020-05-07.csv"
"high,4";"2020-05-07.csv"
"dilemma,4";"2020-05-07.csv"
"peak,4";"2020-05-07.csv"
"minority,4";"2020-05-07.csv"
"disparity,4";"2020-05-07.csv"
"extra,4";"2020-05-07.csv"
"nonbinding,4";"2020-05-07.csv"
"sectors,4";"2020-05-07.csv"
"route,4";"2020-05-07.csv"
"interventions,4";"2020-05-07.csv"
"serious,4";"2020-05-07.csv"
"bme,4";"2020-05-07.csv"
"precautions,4";"2020-05-07.csv"
"proposing,4";"2020-05-07.csv"
"tuc,4";"2020-05-07.csv"
"mechanism,4";"2020-05-07.csv"
"act,4";"2020-05-07.csv"
"enable,4";"2020-05-07.csv"
"panel,3";"2020-05-07.csv"
"secretary,3";"2020-05-07.csv"
"identity,3";"2020-05-07.csv"
"northern,3";"2020-05-07.csv"
"community,3";"2020-05-07.csv"
"concerning,3";"2020-05-07.csv"
"per,3";"2020-05-07.csv"
"inhabitants,3";"2020-05-07.csv"
"uk,3";"2020-05-07.csv"
"behind,3";"2020-05-07.csv"
"individual,3";"2020-05-07.csv"
"tragedy,3";"2020-05-07.csv"
"concerned,3";"2020-05-07.csv"
"rates,3";"2020-05-07.csv"
"recording,3";"2020-05-07.csv"
