"word,""count"",""Filename"";""Filename"""
"vaughan,""13"",""2020-06-11.csv"";"
"public,""13"",""2020-06-11.csv"";"
",""13"",""2020-06-11.csv"";"
"fact,""13"",""2020-06-11.csv"";"
"countries,""13"",""2020-06-11.csv"";"
"world,""13"",""2020-06-11.csv"";"
"important,""13"",""2020-06-11.csv"";"
"issue,""13"",""2020-06-11.csv"";"
"more,""13"",""2020-06-11.csv"";"
"him,""13"",""2020-06-11.csv"";"
"distancing,""13"",""2020-06-11.csv"";"
"confidence,""13"",""2020-06-11.csv"";"
"robert,""12"",""2020-06-11.csv"";"
"cardiff,""12"",""2020-06-11.csv"";"
"first,""12"",""2020-06-11.csv"";"
"british,""12"",""2020-06-11.csv"";"
"accept,""12"",""2020-06-11.csv"";"
"look,""12"",""2020-06-11.csv"";"
"talk,""12"",""2020-06-11.csv"";"
"taken,""12"",""2020-06-11.csv"";"
"back,""12"",""2020-06-11.csv"";"
"sure,""12"",""2020-06-11.csv"";"
"metres,""12"",""2020-06-11.csv"";"
"justice,""11"",""2020-06-11.csv"";"
"plaid,""11"",""2020-06-11.csv"";"
"start,""11"",""2020-06-11.csv"";"
"part,""11"",""2020-06-11.csv"";"
"today,""11"",""2020-06-11.csv"";"
"mle,""11"",""2020-06-11.csv"";"
"work,""11"",""2020-06-11.csv"";"
"sense,""11"",""2020-06-11.csv"";"
"making,""11"",""2020-06-11.csv"";"
"together,""11"",""2020-06-11.csv"";"
"terms,""11"",""2020-06-11.csv"";"
"completely,""11"",""2020-06-11.csv"";"
"made,""11"",""2020-06-11.csv"";"
"discussion,""11"",""2020-06-11.csv"";"
"killed,""11"",""2020-06-11.csv"";"
"black,""11"",""2020-06-11.csv"";"
"within,""11"",""2020-06-11.csv"";"
"prime,""11"",""2020-06-11.csv"";"
"looking,""11"",""2020-06-11.csv"";"
"frankly,""11"",""2020-06-11.csv"";"
"keep,""11"",""2020-06-11.csv"";"
"test,""11"",""2020-06-11.csv"";"
"contacts,""11"",""2020-06-11.csv"";"
"conversation,""10"",""2020-06-11.csv"";"
"empire,""10"",""2020-06-11.csv"";"
"uk,""10"",""2020-06-11.csv"";"
"stames,""10"",""2020-06-11.csv"";"
"through,""10"",""2020-06-11.csv"";"
"also,""10"",""2020-06-11.csv"";"
"society,""10"",""2020-06-11.csv"";"
"whole,""10"",""2020-06-11.csv"";"
"agree,""10"",""2020-06-11.csv"";"
"lives,""10"",""2020-06-11.csv"";"
"bring,""10"",""2020-06-11.csv"";"
"industry,""10"",""2020-06-11.csv"";"
"millions,""10"",""2020-06-11.csv"";"
"businesses,""10"",""2020-06-11.csv"";"
"economy,""10"",""2020-06-11.csv"";"
"week,""10"",""2020-06-11.csv"";"
"audience,""9"",""2020-06-11.csv"";"
"may,""9"",""2020-06-11.csv"";"
"rather,""9"",""2020-06-11.csv"";"
"deal,""9"",""2020-06-11.csv"";"
"order,""9"",""2020-06-11.csv"";"
"something,""9"",""2020-06-11.csv"";"
"slavery,""9"",""2020-06-11.csv"";"
"removing,""9"",""2020-06-11.csv"";"
"london,""9"",""2020-06-11.csv"";"
"colour,""9"",""2020-06-11.csv"";"
"still,""9"",""2020-06-11.csv"";"
"does,""9"",""2020-06-11.csv"";"
"taking,""9"",""2020-06-11.csv"";"
"position,""9"",""2020-06-11.csv"";"
"notjust,""9"",""2020-06-11.csv"";"
"boris,""9"",""2020-06-11.csv"";"
"leadership,""9"",""2020-06-11.csv"";"
"secretary,""8"",""2020-06-11.csv"";"
"joining,""8"",""2020-06-11.csv"";"
"welsh,""8"",""2020-06-11.csv"";"
"business,""8"",""2020-06-11.csv"";"
"thank,""8"",""2020-06-11.csv"";"
"area,""8"",""2020-06-11.csv"";"
"off,""8"",""2020-06-11.csv"";"
"use,""8"",""2020-06-11.csv"";"
"statue,""8"",""2020-06-11.csv"";"
"evidence,""8"",""2020-06-11.csv"";"
"chance,""8"",""2020-06-11.csv"";"
"saying,""8"",""2020-06-11.csv"";"
"lam,""8"",""2020-06-11.csv"";"
"larger,""8"",""2020-06-11.csv"";"
"others,""8"",""2020-06-11.csv"";"
"better,""8"",""2020-06-11.csv"";"
"racism,""8"",""2020-06-11.csv"";"
"why,""8"",""2020-06-11.csv"";"
"coming,""8"",""2020-06-11.csv"";"
"offensive,""8"",""2020-06-11.csv"";"
"based,""8"",""2020-06-11.csv"";"
"third,""8"",""2020-06-11.csv"";"
"care,""8"",""2020-06-11.csv"";"
"summer,""8"",""2020-06-11.csv"";"
"affect,""8"",""2020-06-11.csv"";"
"propaganda,""8"",""2020-06-11.csv"";"
"flu,""8"",""2020-06-11.csv"";"
"facts,""8"",""2020-06-11.csv"";"
"virus,""8"",""2020-06-11.csv"";"
"tonight,""7"",""2020-06-11.csv"";"
"2015,""7"",""2020-06-11.csv"";"
"programme,""7"",""2020-06-11.csv"";"
"tessa,""7"",""2020-06-11.csv"";"
"slave,""7"",""2020-06-11.csv"";"
"paying,""7"",""2020-06-11.csv"";"
"proud,""7"",""2020-06-11.csv"";"
"honest,""7"",""2020-06-11.csv"";"
