word,count,Filename
20,1,09/01/2020
20,7,30/01/2020
20,4,20/02/2020
20,4,05/03/2020
20,3,12/03/2020
20,1,19/03/2020
20,2,26/03/2020
20,11,09/04/2020
20,6,16/04/2020
20,2,30/04/2020
20,7,07/05/2020
20,4,14/05/2020
20,7,21/05/2020
20,6,04/06/2020
20,1,11/06/2020
20,1,25/06/2020
20,1,24/09/2020
20,1,08/10/2020
20,1,22/10/2020
20,1,29/10/2020
20,2,05/11/2020
20,2,12/11/2020
20,2,19/11/2020
20,2,26/11/2020
21,1,06/02/2020
21,5,21/05/2020
21,1,19/11/2020
21,1,26/11/2020
22,1,23/01/2020
22,1,06/02/2020
22,1,27/02/2020
22,2,12/03/2020
22,3,02/04/2020
22,1,25/06/2020
22,1,17/09/2020
22,1,22/10/2020
22,1,29/10/2020
22,1,12/11/2020
23,4,11/06/2020
23,3,18/06/2020
23,1,25/06/2020
23,1,15/10/2020
23,2,29/10/2020
23,2,26/11/2020
24,1,09/01/2020
24,2,19/03/2020
24,2,02/04/2020
24,3,04/06/2020
24,1,15/10/2020
25,2,16/01/2020
25,2,30/01/2020
25,1,06/02/2020
25,1,20/02/2020
25,2,27/02/2020
25,2,05/03/2020
25,4,19/03/2020
25,2,26/03/2020
25,4,02/04/2020
25,1,14/05/2020
25,3,11/06/2020
25,1,25/06/2020
25,1,05/11/2020
25,6,12/11/2020
25,6,19/11/2020
26,1,23/01/2020
26,1,19/03/2020
26,2,26/03/2020
26,4,16/04/2020
26,1,25/06/2020
26,2,03/12/2020
27,2,24/09/2020
27,2,01/10/2020
28,1,30/01/2020
28,2,13/02/2020
28,1,07/05/2020
28,1,14/05/2020
28,1,15/10/2020
29,1,27/02/2020
29,1,10/12/2020
30,1,16/01/2020
30,3,23/01/2020
30,4,30/01/2020
30,2,06/02/2020
30,11,13/02/2020
30,3,27/02/2020
30,4,05/03/2020
30,2,12/03/2020
30,5,26/03/2020
30,3,09/04/2020
30,2,16/04/2020
30,1,07/05/2020
30,8,14/05/2020
30,2,21/05/2020
30,4,04/06/2020
30,6,18/06/2020
30,8,25/06/2020
30,2,24/09/2020
30,1,01/10/2020
30,2,08/10/2020
30,6,29/10/2020
30,3,05/11/2020
30,2,12/11/2020
30,2,26/11/2020
30,2,03/12/2020
31,1,23/01/2020
32,1,26/11/2020
32,3,03/12/2020
33,1,12/03/2020
33,1,22/10/2020
